case_id,date,started_at,ended_at,minutes,precision,verbatim
W1-01,2026-09-12,2026-09-12T22:32:00+08:00,2026-09-12T22:38:00+08:00,6,minute,"Actual start and finish: September 12, 2026 10:32PM-10:38PM (paused)"
W1-01,2026-09-13,2026-09-13T10:38:00+08:00,2026-09-13T10:40:00+08:00,2,minute,"Resumed review — actual start and finish:  September 13, 10:38 AM - 10:40 AM"
W1-02,2026-09-13,2026-09-13T10:41:00+08:00,2026-09-13T10:42:00+08:00,1,minute,"Actual start and finish: September 13, 10:41 AM - 10:42 AM"
W1-03,2026-09-13,2026-09-13T10:43:00+08:00,2026-09-13T10:48:00+08:00,5,minute,"Actual start and finish: September 13, 2026 10:43 AM - 10:48 AM"
W1-04,2026-09-13,2026-09-13T10:52:00+08:00,2026-09-13T10:53:00+08:00,1,minute,"Actual start and finish: September 13, 2026, 10:52 AM - 10:53 AM"
W1-05,2026-09-13,2026-09-13T11:03:00+08:00,2026-09-13T11:05:00+08:00,2,minute,"Actual start and finish: September 13, 11:03 AM - 11:05 AM"
W1-06,2026-09-13,2026-09-13T11:06:00+08:00,2026-09-13T11:07:00+08:00,1,minute,"Actual start and finish: September 13, 11:06 AM - 11:07 AM"
W1-07,2026-09-13,2026-09-13T11:07:00+08:00,2026-09-13T11:09:00+08:00,2,minute,"Actual start and finish: September 13, 11:07 AM - 11:09 AM"
W1-08,2026-09-13,2026-09-13T11:10:00+08:00,2026-09-13T11:11:00+08:00,1,minute,"Actual start and finish: September 13, 11:10 AM - 11:11 AM"
W2-01,2026-09-13,2026-09-13T11:15:00+08:00,2026-09-13T11:16:00+08:00,1,minute,"Actual start and finish: September 13, 11:15 AM - 11:16 AM"
W2-02,2026-09-13,2026-09-13T11:13:00+08:00,2026-09-13T11:14:00+08:00,1,minute,"Actual start and finish: September 13, 11:13 AM - 11:14 AM"
W2-03,2026-09-13,2026-09-13T11:17:00+08:00,2026-09-13T11:20:00+08:00,3,minute,"Actual start and finish: September 13, 11:17 AM - 11:20 AM"
W2-04,2026-09-13,2026-09-13T11:21:00+08:00,2026-09-13T11:22:00+08:00,1,minute,"Actual start and finish: September 13, 11:21 AM - 11:22 AM"
W2-05,2026-09-13,2026-09-13T11:23:00+08:00,2026-09-13T11:24:00+08:00,1,minute,"Actual start and finish: September 13, 11:23 AM - 11:24 AM"
W2-06,2026-09-13,2026-09-13T11:25:00+08:00,2026-09-13T11:26:00+08:00,1,minute,"Actual start and finish: September 13, 11:25 AM - 11:26 AM"
W2-07,2026-09-13,2026-09-13T11:26:00+08:00,2026-09-13T11:27:00+08:00,1,minute,"Actual start and finish: September 13, 11:26 AM - 11:27 AM"
W2-08,2026-09-13,2026-09-13T11:28:00+08:00,2026-09-13T11:30:00+08:00,2,minute,"Actual start and finish: September 13, 11:28 AM - 11:30 AM"
W3-01,2026-09-13,2026-09-13T13:21:00+08:00,2026-09-13T13:22:00+08:00,1,minute,"Actual start and finish: September 13, 2026 01:21 PM - 01:22 PM"
W3-02,2026-09-13,2026-09-13T13:22:00+08:00,2026-09-13T13:24:00+08:00,2,minute,"Actual start and finish: September 13, 2026 01:22 PM - 01:24 PM"
W3-03,2026-09-13,2026-09-13T13:24:00+08:00,2026-09-13T13:26:00+08:00,2,minute,"Actual start and finish: September 13, 2026 01:24 PM - 01:26 PM"
W3-04,2026-09-13,2026-09-13T13:26:00+08:00,2026-09-13T13:27:00+08:00,1,minute,"Actual start and finish: September 13, 2026 01:26 PM - 01:27 PM"
W3-05,2026-09-13,2026-09-13T13:28:00+08:00,2026-09-13T13:31:00+08:00,3,minute,"Actual start and finish:  September 13, 2026 01:28 PM - 01:31 PM"
W3-06,2026-09-13,2026-09-13T13:32:00+08:00,2026-09-13T13:33:00+08:00,1,minute,"Actual start and finish: September 13, 2026 01:32 PM - 01:33 PM"
W3-07,2026-09-13,2026-09-13T13:34:00+08:00,2026-09-13T13:36:00+08:00,2,minute,"Actual start and finish: September 13, 2026 01:34 PM - 01:36 PM"
W3-08,2026-09-13,2026-09-13T13:47:00+08:00,2026-09-13T13:48:00+08:00,1,minute,"Actual start and finish: September 13, 2026 01:47 PM - 01:48 PM"
