retained_file_name,issuer,title,version_or_date,url,retrieved,used_in_cases,sha256_of_retained_copy,bytes,redistribution
R19-ADMU-GenAI-HE-Guidelines.pdf,Ateneo de Manila University,Guidelines on the Responsible Use of Generative Artificial Intelligence (GenAI) in Higher Education,2024-11-18,https://www.ateneo.edu/sites/default/files/2025-01/GenAI%20in%20Higher%20Education%20-%20Ateneo%20de%20Manila.pdf,2026-08-30,"W1-01, W1-02, W1-05, W1-06",b6eb7b54ad76c8c9935ceb422c813df323071cf432c0a2cf9c2fe089cdda6556,251336,Not redistributed here (register note: cite; do not redistribute in full). Retrieve from the URL; verify with SHA-256.
R13-ADMU-HE-Memo-Y3.03.html,Ateneo de Manila University,GenAI Policy in Higher Education (HE Memo #Y3.03),2025-01-13,https://www.ateneo.edu/document/memorandum/2025/01/13/genai-policy-higher-education-he-memoy303,2026-08-31,"W1-01, W1-02, W1-05, W1-06",c0cf3053357dbc32f4458d3b0b21f84bf3ffce6dddf17f4441e4060e54a4ffd0,86932,Not redistributed here (register note: cite; do not redistribute in full). Retrieve from the URL; verify with SHA-256.
R14-ADMU-HE-Memo-Y3.23.html,Ateneo de Manila University,Updated Information on Gen AI Policy in Higher Education (HE Memo #Y3.23),2025-04-29,https://www.ateneo.edu/document/memorandum/2025/04/29/updated-information-gen-ai-policy-higher-education-he-memoy323,2026-08-31,"W1-01, W1-02, W1-05, W1-06",15f402530c50e866ed6cfdad31e26a1bdaa9a4ba3097ad59ee2ffc60a53f5387,86414,Not redistributed here (register note: cite; do not redistribute in full). Retrieve from the URL; verify with SHA-256.
R12-DLSU-GenAI-Policy.pdf,De La Salle University,De La Salle University Policies on Generative Artificial Intelligence in Higher Education,2025 (undated on face),https://old.dlsu.edu.ph/wp-content/uploads/pdf/provost/forms/policy-for-generative-ai-in-education.pdf,2026-09-01 (official URL hash-matched 2026-09-13),"W2-03, W3-03, W3-06",636c81d73c1485baee9093a98a08bf0a7e9ee2fb4e00fa940ce6f82f7ced7212,470000,Not redistributed here (register note: cite; do not redistribute in full). Retrieve from the URL; verify with SHA-256.
S-CNU-Student-Manual-2018.pdf,Cebu Normal University,Student Manual (Revised 2018),2018 (revised),https://cnu.edu.ph/wp-content/uploads/2023/03/STUDENT-MANUAL-Revised-2018.pdf,2026-09-02,"W1-03, W1-07",bbdfd06a1911b7e40b2ae66d42970b365aca0c3388da0b48d0f7ef5aa049a0db,603008,Not redistributed here (register note: cite; do not redistribute in full). Retrieve from the URL; verify with SHA-256.
S-MAPUA-MCM-OBE-Guidelines-SY2024-2025.pdf,Mapúa Malayan Colleges Mindanao,"Guidelines for Modular System, OBE Grading System and FLUX, SY 2024-2025",2025-05 (file path),https://mcm.edu.ph/wp-content/uploads/2025/05/Mapua-MCM-Guidelines-for-Modular-System-OBE-Grading-System-and-FLUX-for-SY2024-2025-College.pdf,2026-08-31,"W3-01, W3-04, W3-07",8a588a56bb3e959cc2bcbbdb8fe7c2a25fb68bb8730eed87d6007163de50d79f,610855,Not redistributed here (register note: cite; do not redistribute in full). Retrieve from the URL; verify with SHA-256.
S-PTC-Student-Handbook-2025.html,Pateros Technological College,Student Handbook (2025),2025,https://www.paterostechnologicalcollege.edu.ph/publication/Student%20Handbook/,2026-09-02,W2-07,3abc8df36e3e7e51a1a121b16fda228795e9d749051ab0cad71968df77f08b91,69773,Not redistributed here (register note: cite; do not redistribute in full). Retrieve from the URL; verify with SHA-256.
S-SPUS-Examination-Policies.html,St. Paul University Surigao,Examination Policies (knowledge-base article),Updated 2025-11-27,https://help.spus.edu.ph/docs/examination-policies/,2026-09-01,"W1-08, W2-01, W2-02, W3-08",06127f4fe8bb1addef1b8f4dd8cb5e463b100a4ce0f24585e6ae69453b6fc633,654202,Not redistributed here (register note: cite; do not redistribute in full). Retrieve from the URL; verify with SHA-256.
S-SPUS-Grading-System.html,St. Paul University Surigao,Grading System (knowledge-base article),Updated 2025-11-27,https://help.spus.edu.ph/docs/grading-system/,2026-09-01,"W1-08, W2-01, W2-02, W3-08",928a041d90e7e4be2dfe495a61ae08b1eed8ca28b178746af66699db703f5803,656050,Not redistributed here (register note: cite; do not redistribute in full). Retrieve from the URL; verify with SHA-256.
S-UPD-REMOVAL_OF_INCOMPLETE.pdf,University of the Philippines Diliman,Academic information: removal of incomplete (clause PDF linked from index),Catalogue-based; version not dated,https://our.upd.edu.ph/acadinf.php,2026-09-01,W1-04,126afb8718d2adce447b8d22d65d97ea0c6181e7f55567e7691473b4a7b561ac,110209,Not redistributed here (register note: cite; do not redistribute in full). Retrieve from the URL; verify with SHA-256.
