kind,analysis,condition,serious_released,useful_release,denominator
sensitivity,repetition_1,astra_direct,0,15,24
sensitivity,repetition_1,astra_controlled,0,12,24
sensitivity,repetition_1,luna_direct,0,15,24
sensitivity,repetition_1,luna_controlled,0,11,24
sensitivity,repetition_2,astra_direct,0,15,24
sensitivity,repetition_2,astra_controlled,0,11,24
sensitivity,repetition_2,luna_direct,0,15,24
sensitivity,repetition_2,luna_controlled,0,10,24
sensitivity,omit_interpretation_sensitive,astra_direct,0,30,44
sensitivity,omit_interpretation_sensitive,astra_controlled,0,23,44
sensitivity,omit_interpretation_sensitive,luna_direct,0,30,44
sensitivity,omit_interpretation_sensitive,luna_controlled,0,21,44
sensitivity,omit_post_audit_changes,astra_direct,0,26,36
sensitivity,omit_post_audit_changes,astra_controlled,0,21,36
sensitivity,omit_post_audit_changes,luna_direct,0,26,36
sensitivity,omit_post_audit_changes,luna_controlled,0,18,36
sensitivity,leave out institution: Ateneo de Manila University,astra_direct,0,22,40
sensitivity,leave out institution: Ateneo de Manila University,astra_controlled,0,17,40
sensitivity,leave out institution: Ateneo de Manila University,luna_direct,0,22,40
sensitivity,leave out institution: Ateneo de Manila University,luna_controlled,0,14,40
sensitivity,leave out institution: Cebu Normal University,astra_direct,0,26,44
sensitivity,leave out institution: Cebu Normal University,astra_controlled,0,21,44
sensitivity,leave out institution: Cebu Normal University,luna_direct,0,26,44
sensitivity,leave out institution: Cebu Normal University,luna_controlled,0,18,44
sensitivity,leave out institution: De La Salle University,astra_direct,0,28,42
sensitivity,leave out institution: De La Salle University,astra_controlled,0,21,42
sensitivity,leave out institution: De La Salle University,luna_direct,0,28,42
sensitivity,leave out institution: De La Salle University,luna_controlled,0,19,42
sensitivity,leave out institution: Mapúa Malayan Colleges Mindanao,astra_direct,0,26,42
sensitivity,leave out institution: Mapúa Malayan Colleges Mindanao,astra_controlled,0,22,42
sensitivity,leave out institution: Mapúa Malayan Colleges Mindanao,luna_direct,0,26,42
sensitivity,leave out institution: Mapúa Malayan Colleges Mindanao,luna_controlled,0,20,42
sensitivity,leave out institution: Pateros Technological College,astra_direct,0,28,46
sensitivity,leave out institution: Pateros Technological College,astra_controlled,0,21,46
sensitivity,leave out institution: Pateros Technological College,luna_direct,0,28,46
sensitivity,leave out institution: Pateros Technological College,luna_controlled,0,20,46
sensitivity,leave out institution: St. Paul University Surigao,astra_direct,0,28,40
sensitivity,leave out institution: St. Paul University Surigao,astra_controlled,0,21,40
sensitivity,leave out institution: St. Paul University Surigao,luna_direct,0,28,40
sensitivity,leave out institution: St. Paul University Surigao,luna_controlled,0,19,40
sensitivity,leave out institution: University of Southeastern Philippines,astra_direct,0,28,44
sensitivity,leave out institution: University of Southeastern Philippines,astra_controlled,0,21,44
sensitivity,leave out institution: University of Southeastern Philippines,luna_direct,0,28,44
sensitivity,leave out institution: University of Southeastern Philippines,luna_controlled,0,21,44
sensitivity,leave out institution: University of Southern Philippines Foundation,astra_direct,0,26,44
sensitivity,leave out institution: University of Southern Philippines Foundation,astra_controlled,0,19,44
sensitivity,leave out institution: University of Southern Philippines Foundation,luna_direct,0,26,44
sensitivity,leave out institution: University of Southern Philippines Foundation,luna_controlled,0,18,44
sensitivity,leave out institution: University of the Philippines Diliman,astra_direct,0,28,42
sensitivity,leave out institution: University of the Philippines Diliman,astra_controlled,0,21,42
sensitivity,leave out institution: University of the Philippines Diliman,luna_direct,0,28,42
sensitivity,leave out institution: University of the Philippines Diliman,luna_controlled,0,19,42
sensitivity,critical_only,astra_direct,0,30,48
sensitivity,critical_only,astra_controlled,0,23,48
sensitivity,critical_only,luna_direct,0,30,48
sensitivity,critical_only,luna_controlled,0,21,48
comparison policy,always_withhold,astra,0,0,48
comparison policy,always_withhold,luna,0,0,48
comparison policy,structural_only,astra,0,30,48
comparison policy,structural_only,luna,0,30,48
comparison policy,stratum_routing_only,astra,0,10,48
comparison policy,stratum_routing_only,luna,0,10,48
post-freeze bound,bound: least favourable to controls (S6a),astra_direct,18,30,48
post-freeze bound,bound: least favourable to controls (S6a),astra_controlled,18,23,48
post-freeze bound,bound: least favourable to controls (S6a),luna_direct,18,30,48
post-freeze bound,bound: least favourable to controls (S6a),luna_controlled,18,21,48
post-freeze bound,bound: least favourable to direct release (S6b),astra_direct,18,30,48
post-freeze bound,bound: least favourable to direct release (S6b),astra_controlled,18,23,48
post-freeze bound,bound: least favourable to direct release (S6b),luna_direct,18,30,48
post-freeze bound,bound: least favourable to direct release (S6b),luna_controlled,18,21,48
post-freeze exposure sensitivity,excluding_all_timed_answers,astra_direct,0,24,36
post-freeze exposure sensitivity,excluding_all_timed_answers,astra_controlled,0,18,36
post-freeze exposure sensitivity,excluding_all_timed_answers,luna_direct,0,21,36
post-freeze exposure sensitivity,excluding_all_timed_answers,luna_controlled,0,15,36
post-freeze exposure sensitivity,excluding_controlled_timed_answers,astra_direct,0,26,42
post-freeze exposure sensitivity,excluding_controlled_timed_answers,astra_controlled,0,20,42
post-freeze exposure sensitivity,excluding_controlled_timed_answers,luna_direct,0,25,42
post-freeze exposure sensitivity,excluding_controlled_timed_answers,luna_controlled,0,18,42
